year,team,conference,passing_usage,rushing_usage,usages
2014,Air Force,Mountain West,0.751,0.652,0.684
2014,Akron,Mid-American,1.0,0.989,0.952
2014,Alabama,SEC,0.078,0.911,0.589
2014,Arizona,Pac-12,0.0,0.048,0.142
2014,Arizona State,Pac-12,0.99,0.562,0.713
2014,Arkansas,SEC,0.996,0.887,0.856
2014,Arkansas State,Sun Belt,0.139,0.369,0.335
2014,Army,FBS Independents,1.0,0.951,0.946
2014,Auburn,SEC,1.0,0.491,0.68
2014,Ball State,Mid-American,0.018,0.897,0.342
2014,Baylor,Big 12,0.998,0.526,0.738
2014,Boise State,Mountain West,0.527,0.777,0.661
2014,Boston College,ACC,0.019,0.188,0.181
2014,Bowling Green,Mid-American,0.324,0.918,0.642
2014,Buffalo,Mid-American,0.973,0.224,0.512
2014,BYU,FBS Independents,0.973,0.992,0.861
2014,California,Pac-12,0.863,0.574,0.742
2014,Central Michigan,Mid-American,0.921,0.783,0.858
2014,Cincinnati,American Athletic,0.106,0.687,0.44
2014,Clemson,ACC,0.121,0.325,0.288
2014,Colorado,Pac-12,0.605,0.913,0.718
2014,Colorado State,Mountain West,1.0,0.142,0.572
2014,Connecticut,American Athletic,1.0,0.43,0.76
2014,Duke,ACC,0.693,0.688,0.728
2014,East Carolina,Conference USA,1.0,0.456,0.744
2014,Eastern Michigan,Mid-American,0.336,0.847,0.659
2014,Florida,SEC,0.377,0.841,0.639
2014,Florida Atlantic,Conference USA,0.994,0.621,0.711
2014,Florida International,Conference USA,0.453,0.534,0.584
2014,Florida State,ACC,1.0,0.438,0.621
2014,Fresno State,Mountain West,0.02,0.902,0.385
2014,Georgia,SEC,0.244,0.833,0.528
2014,Georgia State,Sun Belt,0.995,0.563,0.7
2014,Georgia Tech,ACC,0.105,0.402,0.367
2014,Hawai'i,Mountain West,0.27,0.844,0.5
2014,Houston,American Athletic,0.912,0.942,0.884
2014,Idaho,FBS Independents,0.51,0.598,0.575
2014,Illinois,Big Ten,0.049,0.739,0.387
2014,Indiana,Big Ten,0.685,0.539,0.546
2014,Iowa,Big Ten,1.0,0.996,0.952
2014,Iowa State,Big 12,0.997,0.619,0.788
2014,Kansas,Big 12,0.2,0.309,0.322
2014,Kansas State,Big 12,0.829,0.221,0.506
2014,Kent State,Mid-American,0.869,0.788,0.775
2014,Kentucky,SEC,0.548,0.375,0.525
2014,Louisiana,Sun Belt,0.983,0.985,0.919
2014,Louisiana Monroe,Sun Belt,0.268,0.422,0.42
2014,Louisiana Tech,Conference USA,0.634,0.929,0.683
2014,Louisville,American Athletic,0.027,0.549,0.373
2014,LSU,SEC,0.091,0.362,0.25
2014,Marshall,Conference USA,0.961,0.381,0.691
2014,Maryland,ACC,1.0,0.991,0.946
2014,Memphis,American Athletic,0.98,0.803,0.888
2014,Miami,ACC,0.101,0.8,0.456
2014,Miami (OH),Mid-American,0.363,0.76,0.627
2014,Michigan,Big Ten,0.997,0.573,0.696
2014,Michigan State,Big Ten,0.921,0.996,0.969
2014,Middle Tennessee,Conference USA,0.117,0.799,0.514
2014,Minnesota,Big Ten,0.294,0.826,0.652
2014,Mississippi State,SEC,0.745,0.661,0.737
2014,Missouri,SEC,0.301,0.482,0.373
2014,Navy,FBS Independents,1.0,0.908,0.882
2014,NC State,ACC,0.045,0.538,0.337
2014,Nebraska,Big Ten,0.36,0.881,0.666
2014,Nevada,Mountain West,0.995,0.801,0.777
2014,New Mexico,Mountain West,0.939,0.645,0.727
2014,New Mexico State,FBS Independents,0.008,0.421,0.351
2014,North Carolina,ACC,0.481,0.776,0.628
2014,Northern Illinois,Mid-American,0.029,0.499,0.432
2014,North Texas,Conference USA,0.03,0.421,0.287
2014,Northwestern,Big Ten,0.788,0.502,0.647
2014,Notre Dame,FBS Independents,0.0,0.712,0.627
2014,Ohio,Mid-American,0.116,0.225,0.211
2014,Ohio State,Big Ten,0.705,0.449,0.571
2014,Oklahoma,Big 12,0.963,0.297,0.522
2014,Oklahoma State,Big 12,0.394,0.589,0.472
2014,Ole Miss,SEC,0.899,0.732,0.749
2014,Oregon,Pac-12,0.985,0.8,0.807
2014,Oregon State,Pac-12,0.972,0.801,0.805
2014,Penn State,Big Ten,0.963,0.987,0.85
2014,Pittsburgh,ACC,0.028,0.909,0.548
2014,Purdue,Big Ten,0.64,0.807,0.748
2014,Rice,Conference USA,0.051,0.234,0.253
2014,Rutgers,American Athletic,0.7,0.944,0.792
2014,San Diego State,Mountain West,0.841,0.37,0.575
2014,San José State,Mountain West,0.017,0.765,0.424
2014,SMU,American Athletic,0.166,0.586,0.37
2014,South Alabama,Sun Belt,0.166,0.592,0.489
2014,South Carolina,SEC,0.249,0.718,0.57
2014,Southern Mississippi,Conference USA,0.609,0.482,0.581
2014,South Florida,American Athletic,0.672,0.172,0.486
2014,Stanford,Pac-12,1.0,0.25,0.568
2014,Syracuse,ACC,0.674,0.418,0.593
2014,TCU,Big 12,0.424,0.775,0.592
2014,Temple,American Athletic,0.904,0.958,0.86
2014,Tennessee,SEC,0.994,0.391,0.649
2014,Texas,Big 12,0.235,0.802,0.565
2014,Texas A&M,SEC,0.046,0.442,0.28
2014,Texas State,Sun Belt,0.541,0.821,0.681
2014,Texas Tech,Big 12,0.514,0.724,0.56
2014,Toledo,Mid-American,1.0,0.547,0.59
2014,Troy,Sun Belt,0.039,0.732,0.415
2014,Tulane,Conference USA,0.997,0.513,0.709
2014,Tulsa,Conference USA,0.49,0.121,0.321
2014,UAB,Conference USA,0.0,0.334,0.289
2014,UCF,American Athletic,0.031,0.341,0.334
2014,UCLA,Pac-12,0.997,0.82,0.882
2014,UMass,Mid-American,0.7,0.686,0.692
2014,UNLV,Mountain West,0.156,0.16,0.331
2014,USC,Pac-12,0.933,0.71,0.759
2014,Utah,Pac-12,1.0,0.477,0.68
2014,Utah State,Mountain West,0.996,0.349,0.562
2014,UTEP,Conference USA,0.904,0.906,0.819
2014,UT San Antonio,Conference USA,0.088,0.551,0.478
2014,Vanderbilt,SEC,0.25,0.671,0.429
2014,Virginia,ACC,1.0,0.98,0.926
2014,Virginia Tech,ACC,0.073,0.611,0.459
2014,Wake Forest,ACC,0.063,0.381,0.251
2014,Washington,Pac-12,0.15,0.325,0.306
2014,Washington State,Pac-12,0.944,0.795,0.909
2014,Western Kentucky,Sun Belt,0.987,0.249,0.657
2014,Western Michigan,Mid-American,0.575,0.499,0.577
2014,West Virginia,Big 12,0.865,0.461,0.683
2014,Wisconsin,Big Ten,0.959,0.563,0.617
2014,Wyoming,Mountain West,0.002,0.444,0.275
2015,Air Force,Mountain West,0.162,0.711,0.646
2015,Akron,Mid-American,0.997,0.995,0.758
2015,Alabama,SEC,0.134,0.364,0.251
2015,Appalachian State,Sun Belt,0.863,0.973,0.93
2015,Arizona,Pac-12,1.0,0.756,0.861
2015,Arizona State,Pac-12,0.302,0.747,0.536
2015,Arkansas,SEC,0.997,0.949,0.942
2015,Arkansas State,Sun Belt,0.983,0.976,0.96
2015,Army,FBS Independents,0.322,0.223,0.278
2015,Auburn,SEC,0.119,0.128,0.157
2015,Ball State,Mid-American,0.511,0.327,0.521
2015,Baylor,Big 12,0.171,0.823,0.549
2015,Boise State,Mountain West,0.095,0.135,0.259
2015,Boston College,ACC,0.035,0.716,0.483
2015,Bowling Green,Mid-American,0.942,0.634,0.839
2015,Buffalo,Mid-American,1.0,1.0,0.939
2015,BYU,FBS Independents,0.289,0.703,0.53
2015,California,Pac-12,0.995,0.98,0.936
2015,Central Michigan,Mid-American,0.998,0.343,0.575
2015,Cincinnati,American Athletic,0.808,0.922,0.892
2015,Clemson,ACC,0.331,0.757,0.632
2015,Colorado,Pac-12,0.998,0.765,0.839
2015,Colorado State,Mountain West,0.059,0.447,0.414
2015,Connecticut,American Athletic,0.188,0.763,0.443
2015,Duke,ACC,0.04,0.647,0.37
2015,East Carolina,American Athletic,0.018,0.5,0.246
2015,Eastern Michigan,Mid-American,0.672,0.419,0.49
2015,Florida,SEC,0.346,0.42,0.426
2015,Florida Atlantic,Conference USA,0.84,0.654,0.641
2015,Florida International,Conference USA,0.877,0.958,0.855
2015,Florida State,ACC,0.115,0.54,0.372
2015,Fresno State,Mountain West,0.081,0.467,0.302
2015,Georgia,SEC,0.136,0.918,0.558
2015,Georgia Southern,Sun Belt,1.0,0.809,0.79
2015,Georgia State,Sun Belt,0.965,0.616,0.802
2015,Georgia Tech,ACC,0.976,0.329,0.413
2015,Hawai'i,Mountain West,0.884,0.695,0.778
2015,Houston,American Athletic,0.584,0.912,0.642
2015,Idaho,Sun Belt,0.85,0.511,0.584
2015,Illinois,Big Ten,0.509,0.419,0.555
2015,Indiana,Big Ten,0.997,0.233,0.471
2015,Iowa,Big Ten,0.209,0.402,0.356
2015,Iowa State,Big 12,0.985,0.371,0.657
2015,Kansas,Big 12,0.993,0.456,0.543
2015,Kansas State,Big 12,0.04,0.44,0.233
2015,Kent State,Mid-American,0.998,0.793,0.752
2015,Kentucky,SEC,0.998,0.797,0.818
2015,Louisiana,Sun Belt,0.074,0.429,0.369
2015,Louisiana Monroe,Sun Belt,0.044,0.282,0.297
2015,Louisiana Tech,Conference USA,0.025,0.864,0.519
2015,Louisville,ACC,0.965,0.518,0.619
2015,LSU,SEC,0.993,0.645,0.77
2015,Marshall,Conference USA,0.049,0.612,0.347
2015,Maryland,Big Ten,0.107,0.601,0.34
2015,Memphis,American Athletic,0.984,0.642,0.769
2015,Miami,ACC,0.954,0.971,0.844
2015,Miami (OH),Mid-American,0.02,0.319,0.266
2015,Michigan,Big Ten,0.12,0.662,0.434
2015,Michigan State,Big Ten,0.995,0.308,0.576
2015,Middle Tennessee,Conference USA,0.997,0.759,0.8
2015,Minnesota,Big Ten,0.978,0.33,0.495
2015,Mississippi State,SEC,0.998,0.554,0.703
2015,Missouri,SEC,0.991,0.643,0.649
2015,Navy,FBS Independents,0.993,0.66,0.702
2015,NC State,ACC,0.98,0.821,0.804
2015,Nebraska,Big Ten,0.989,0.53,0.696
2015,Nevada,Mountain West,0.005,0.686,0.442
2015,New Mexico,Mountain West,0.925,0.858,0.847
2015,New Mexico State,Sun Belt,1.0,0.859,0.836
2015,North Carolina,ACC,0.998,1.0,0.95
2015,Northern Illinois,Mid-American,0.937,0.566,0.668
2015,North Texas,Conference USA,0.747,0.499,0.64
2015,Northwestern,Big Ten,0.117,0.736,0.442
2015,Notre Dame,FBS Independents,0.074,0.51,0.407
2015,Ohio,Mid-American,0.997,0.954,0.897
2015,Ohio State,Big Ten,0.982,0.961,0.913
2015,Oklahoma,Big 12,0.997,0.832,0.866
2015,Oklahoma State,Big 12,0.301,0.263,0.443
2015,Old Dominion,Conference USA,0.007,0.428,0.341
2015,Ole Miss,SEC,0.075,0.539,0.445
2015,Oregon,Pac-12,0.086,0.772,0.56
2015,Oregon State,Pac-12,0.002,0.222,0.203
2015,Penn State,Big Ten,0.978,0.525,0.789
2015,Pittsburgh,ACC,0.948,0.917,0.875
2015,Purdue,Big Ten,0.618,0.22,0.449
2015,Rice,Conference USA,0.995,0.998,0.899
2015,Rutgers,Big Ten,0.078,0.941,0.609
2015,San Diego State,Mountain West,0.121,0.965,0.62
2015,San José State,Mountain West,0.764,0.86,0.806
2015,SMU,American Athletic,0.798,0.803,0.753
2015,South Alabama,Sun Belt,0.264,0.419,0.363
2015,South Carolina,SEC,0.043,0.444,0.284
2015,Southern Mississippi,Conference USA,0.786,0.97,0.816
2015,South Florida,American Athletic,0.333,0.953,0.584
2015,Stanford,Pac-12,0.94,0.719,0.774
2015,Syracuse,ACC,0.941,0.449,0.638
2015,TCU,Big 12,0.949,0.774,0.842
2015,Temple,American Athletic,0.948,0.544,0.699
2015,Tennessee,SEC,0.393,0.636,0.602
2015,Texas,Big 12,0.916,0.571,0.63
2015,Texas A&M,SEC,0.379,0.694,0.594
2015,Texas State,Sun Belt,0.998,0.771,0.802
2015,Texas Tech,Big 12,0.94,0.961,0.877
2015,Toledo,Mid-American,0.955,0.931,0.912
2015,Troy,Sun Belt,0.995,0.77,0.797
2015,Tulane,American Athletic,0.823,0.891,0.781
2015,Tulsa,American Athletic,1.0,1.0,0.986
2015,UAB,Conference USA,0.0,0.0,0.001
2015,UCF,American Athletic,0.984,0.812,0.698
2015,UCLA,Pac-12,0.12,0.721,0.516
2015,UMass,Mid-American,0.998,0.853,0.885
2015,UNLV,Mountain West,0.817,0.675,0.677
2015,USC,Pac-12,0.988,0.367,0.567
2015,Utah,Pac-12,0.99,0.99,0.873
2015,Utah State,Mountain West,0.553,0.486,0.523
2015,UTEP,Conference USA,0.017,0.645,0.397
2015,UT San Antonio,Conference USA,0.536,0.349,0.423
2015,Vanderbilt,SEC,0.64,0.856,0.767
2015,Virginia,ACC,0.376,0.238,0.376
2015,Virginia Tech,ACC,0.981,0.989,0.936
2015,Wake Forest,ACC,0.954,0.728,0.744
2015,Washington,Pac-12,0.028,0.642,0.463
2015,Washington State,Pac-12,0.323,0.823,0.459
2015,Western Kentucky,Conference USA,0.993,0.983,0.882
2015,Western Michigan,Mid-American,1.0,0.847,0.929
2015,West Virginia,Big 12,0.212,0.672,0.421
2015,Wisconsin,Big Ten,0.994,0.418,0.623
2015,Wyoming,Mountain West,0.029,0.888,0.493
2016,Air Force,Mountain West,0.145,0.741,0.625
2016,Akron,Mid-American,0.924,0.323,0.548
2016,Alabama,SEC,0.112,0.124,0.279
2016,Appalachian State,Sun Belt,0.986,0.952,0.862
2016,Arizona,Pac-12,0.805,0.551,0.601
2016,Arizona State,Pac-12,0.007,0.737,0.39
2016,Arkansas,SEC,0.028,0.269,0.3
2016,Arkansas State,Sun Belt,0.0,0.434,0.301
2016,Army,FBS Independents,0.664,0.472,0.521
2016,Auburn,SEC,1.0,0.225,0.488
2016,Ball State,Mid-American,1.0,0.998,0.952
2016,Baylor,Big 12,0.555,0.704,0.605
2016,Boise State,Mountain West,0.86,0.721,0.771
2016,Boston College,ACC,0.996,0.848,0.869
2016,Bowling Green,Mid-American,0.677,0.99,0.483
2016,Buffalo,Mid-American,0.0,0.489,0.266
2016,BYU,FBS Independents,0.996,0.724,0.748
2016,California,Pac-12,0.038,0.706,0.283
2016,Central Michigan,Mid-American,0.996,0.7,0.853
2016,Charlotte,Conference USA,1.0,0.712,0.833
2016,Cincinnati,American Athletic,0.977,0.705,0.643
2016,Clemson,ACC,0.994,0.899,0.89
2016,Colorado,Pac-12,0.759,0.674,0.701
2016,Colorado State,Mountain West,0.877,0.595,0.611
2016,Connecticut,American Athletic,0.835,0.922,0.887
2016,Duke,ACC,0.99,0.752,0.753
2016,East Carolina,American Athletic,0.215,0.444,0.392
2016,Eastern Michigan,Mid-American,0.833,0.39,0.583
2016,Florida,SEC,0.016,0.22,0.218
2016,Florida Atlantic,Conference USA,0.398,0.498,0.489
2016,Florida International,Conference USA,0.958,0.854,0.827
2016,Florida State,ACC,0.476,0.848,0.749
2016,Fresno State,Mountain West,0.133,0.089,0.286
2016,Georgia,SEC,0.897,0.838,0.802
2016,Georgia Southern,Sun Belt,1.0,0.965,0.927
2016,Georgia State,Sun Belt,0.025,0.872,0.505
2016,Georgia Tech,ACC,0.995,0.78,0.855
2016,Hawai'i,Mountain West,0.389,0.946,0.712
2016,Houston,American Athletic,0.963,0.398,0.615
2016,Idaho,Sun Belt,0.809,0.364,0.603
2016,Illinois,Big Ten,0.994,0.558,0.71
2016,Indiana,Big Ten,0.123,0.543,0.47
2016,Iowa,Big Ten,0.995,0.641,0.744
2016,Iowa State,Big 12,0.498,0.707,0.573
2016,Kansas,Big 12,0.998,0.605,0.759
2016,Kansas State,Big 12,0.779,0.87,0.775
2016,Kent State,Mid-American,1.0,0.67,0.828
2016,Kentucky,SEC,0.175,0.876,0.648
2016,Louisiana,Sun Belt,0.473,0.695,0.625
2016,Louisiana Monroe,Sun Belt,0.721,0.497,0.658
2016,Louisiana Tech,Conference USA,0.069,0.27,0.307
2016,Louisville,ACC,1.0,0.98,0.992
2016,LSU,SEC,0.993,0.998,0.956
2016,Marshall,Conference USA,0.818,0.581,0.655
2016,Maryland,Big Ten,0.946,0.615,0.799
2016,Memphis,American Athletic,0.004,0.489,0.336
2016,Miami,ACC,0.994,0.987,0.866
2016,Miami (OH),Mid-American,0.677,0.944,0.841
2016,Michigan,Big Ten,0.085,0.67,0.531
2016,Michigan State,Big Ten,0.078,0.89,0.46
2016,Middle Tennessee,Conference USA,0.975,0.63,0.737
2016,Minnesota,Big Ten,1.0,0.9,0.949
2016,Mississippi State,SEC,0.042,0.663,0.397
2016,Missouri,SEC,0.72,0.439,0.623
2016,Navy,American Athletic,0.038,0.168,0.203
2016,NC State,ACC,0.043,0.727,0.525
2016,Nebraska,Big Ten,0.998,0.666,0.846
2016,Nevada,Mountain West,0.997,0.56,0.789
2016,New Mexico,Mountain West,0.992,0.714,0.758
2016,New Mexico State,Sun Belt,0.519,0.805,0.574
2016,North Carolina,ACC,0.134,0.636,0.471
2016,Northern Illinois,Mid-American,0.887,0.962,0.87
2016,North Texas,Conference USA,0.002,0.241,0.133
2016,Northwestern,Big Ten,0.844,0.993,0.848
2016,Notre Dame,FBS Independents,0.992,0.636,0.688
2016,Ohio,Mid-American,0.1,0.56,0.453
2016,Ohio State,Big Ten,0.439,0.234,0.285
2016,Oklahoma,Big 12,0.9,0.91,0.805
2016,Oklahoma State,Big 12,0.858,0.68,0.753
2016,Old Dominion,Conference USA,1.0,0.992,0.968
2016,Ole Miss,SEC,0.965,0.642,0.723
2016,Oregon,Pac-12,0.046,0.812,0.514
2016,Oregon State,Pac-12,0.661,0.663,0.688
2016,Penn State,Big Ten,0.104,0.765,0.521
2016,Pittsburgh,ACC,0.911,0.762,0.723
2016,Purdue,Big Ten,0.588,0.875,0.711
2016,Rice,Conference USA,0.138,0.782,0.545
2016,Rutgers,Big Ten,0.986,0.772,0.828
2016,San Diego State,Mountain West,0.198,0.625,0.538
2016,San José State,Mountain West,0.7,0.283,0.5
2016,SMU,American Athletic,0.995,0.851,0.89
2016,South Alabama,Sun Belt,0.09,0.716,0.449
2016,South Carolina,SEC,0.893,0.46,0.564
2016,Southern Mississippi,Conference USA,0.98,0.415,0.613
2016,South Florida,American Athletic,0.921,0.982,0.949
2016,Stanford,Pac-12,0.048,0.657,0.478
2016,Syracuse,ACC,0.991,0.869,0.914
2016,TCU,Big 12,0.077,0.279,0.295
2016,Temple,American Athletic,0.991,0.965,0.831
2016,Tennessee,SEC,0.997,0.961,0.909
2016,Texas,Big 12,1.0,0.732,0.773
2016,Texas A&M,SEC,0.175,0.205,0.396
2016,Texas State,Sun Belt,0.998,0.441,0.527
2016,Texas Tech,Big 12,0.928,0.421,0.696
2016,Toledo,Mid-American,0.021,0.958,0.579
2016,Troy,Sun Belt,0.778,0.343,0.533
2016,Tulane,American Athletic,0.005,0.735,0.411
2016,Tulsa,American Athletic,0.994,0.627,0.691
2016,UCF,American Athletic,0.597,0.93,0.784
2016,UCLA,Pac-12,0.958,0.413,0.616
2016,UMass,Mid-American,0.048,0.56,0.226
2016,UNLV,Mountain West,0.445,0.524,0.543
2016,USC,Pac-12,0.04,0.761,0.543
2016,Utah,Pac-12,0.008,0.221,0.232
2016,Utah State,Mountain West,0.506,0.862,0.642
2016,UTEP,Conference USA,0.994,0.577,0.769
2016,UT San Antonio,Conference USA,0.608,0.857,0.689
2016,Vanderbilt,SEC,0.295,0.887,0.65
2016,Virginia,ACC,0.998,0.985,0.877
2016,Virginia Tech,ACC,0.443,0.739,0.675
2016,Wake Forest,ACC,0.998,1.0,0.927
2016,Washington,Pac-12,0.993,0.83,0.767
2016,Washington State,Pac-12,0.878,0.996,0.836
2016,Western Kentucky,Conference USA,0.031,0.84,0.415
2016,Western Michigan,Mid-American,1.0,0.998,0.87
2016,West Virginia,Big 12,1.0,0.554,0.754
2016,Wisconsin,Big Ten,0.12,0.89,0.512
2016,Wyoming,Mountain West,0.216,0.909,0.7
2017,Air Force,Mountain West,0.987,0.482,0.556
2017,Akron,Mid-American,0.9,0.81,0.726
2017,Alabama,SEC,0.9,0.869,0.791
2017,Appalachian State,Sun Belt,0.969,0.673,0.729
2017,Arizona,Pac-12,0.839,0.813,0.745
2017,Arizona State,Pac-12,0.996,0.986,0.875
2017,Arkansas,SEC,0.982,0.368,0.544
2017,Arkansas State,Sun Belt,0.826,0.772,0.77
2017,Army,FBS Independents,0.984,0.867,0.84
2017,Auburn,SEC,0.017,0.775,0.552
2017,Ball State,Mid-American,0.996,0.895,0.772
2017,Baylor,Big 12,0.423,0.616,0.493
2017,Boise State,Mountain West,0.974,0.246,0.536
2017,Boston College,ACC,0.072,0.693,0.555
2017,Bowling Green,Mid-American,0.703,0.547,0.634
2017,Buffalo,Mid-American,0.77,0.431,0.552
2017,BYU,FBS Independents,0.1,0.231,0.255
2017,California,Pac-12,0.014,0.571,0.351
2017,Central Michigan,Mid-American,0.018,0.52,0.418
2017,Charlotte,Conference USA,0.584,0.428,0.527
2017,Cincinnati,American Athletic,0.729,0.47,0.613
2017,Clemson,ACC,0.031,0.262,0.229
2017,Colorado,Pac-12,0.319,0.753,0.671
2017,Colorado State,Mountain West,0.91,0.934,0.873
2017,Connecticut,American Athletic,0.95,0.769,0.73
2017,Duke,ACC,1.0,0.655,0.809
2017,East Carolina,American Athletic,0.359,0.419,0.42
2017,Eastern Michigan,Mid-American,0.723,0.916,0.831
2017,Florida,SEC,0.485,0.868,0.727
2017,Florida Atlantic,Conference USA,1.0,0.982,0.965
2017,Florida International,Conference USA,0.998,0.997,0.931
2017,Florida State,ACC,0.958,0.34,0.562
2017,Fresno State,Mountain West,0.791,0.34,0.609
2017,Georgia,SEC,0.956,0.947,0.895
2017,Georgia Southern,Sun Belt,0.025,0.247,0.2
2017,Georgia State,Sun Belt,0.998,1.0,0.855
2017,Georgia Tech,ACC,0.07,0.305,0.347
2017,Hawai'i,Mountain West,0.758,0.546,0.634
2017,Houston,American Athletic,0.112,0.671,0.486
2017,Idaho,Sun Belt,0.966,0.954,0.81
2017,Illinois,Big Ten,0.347,0.761,0.541
2017,Indiana,Big Ten,0.961,0.401,0.609
2017,Iowa,Big Ten,0.027,0.402,0.264
2017,Iowa State,Big 12,1.0,0.957,0.944
2017,Kansas,Big 12,0.341,0.481,0.435
2017,Kansas State,Big 12,0.875,0.756,0.789
2017,Kent State,Mid-American,0.916,0.97,0.903
